pair,trial,repetition,role,tangram,message,num_words,correct
pair01,1,1,director,B,this one kinda looks like they are looking a little down and kneeling with both arms out,17,1
pair01,1,1,director,B,wearing a dress maybe.,4,1
pair01,2,1,director,F,this one is sitting down,5,1
pair01,2,1,director,F,with his knees up,4,1
pair01,3,1,director,C,this one looks like a ghost almost,7,1
pair01,3,1,director,C,with his arms raised up,5,1
pair01,4,1,director,I,this one looks like he is balancing on one leg with his arms out,14,1
pair01,5,1,director,G,this one looks like a woman in a dress who is throwing her head back,15,1
pair01,5,1,director,G,and walking with her hand up,6,1
pair01,6,1,director,D,this one looks like a preacher holding a book and standing straight,12,1
pair01,7,1,director,E,this one has bunny ears,5,1
pair01,8,1,director,L,this one looks like the preacher except he is bending his knees,12,1
pair01,8,1,matcher,L,bending them back?,3,1
pair01,8,1,matcher,L,bending or kneeling,3,1
pair01,8,1,director,L,hmm he is facing right,5,1
pair01,8,1,director,L,bending not kneeling,3,1
pair01,9,1,director,A,this one looks like a man with a block on his back,12,1
pair01,9,1,director,A,maybe he is wearing a hazmat suit,7,1
pair01,10,1,director,J,this one kinda looks like a smaller kid who is a little overweight,13,1
pair01,10,1,matcher,J,right arm out?,3,1
pair01,10,1,director,J,his chest has a pointy part,6,1
pair01,11,1,director,K,this one looks like a person kneeling with their hand out and has a hood,15,1
pair01,11,1,matcher,K,?,1,1
pair01,11,1,matcher,K,kneeling preacher?,2,1
pair01,11,1,director,K,hmm,1,1
pair01,11,1,director,K,yes looks like the bent knee preacher,7,1
pair01,11,1,director,K,except kneeling,2,1
pair01,12,1,director,H,looks like the small kid but no pointy chest,9,1
pair01,13,2,director,G,woman with arm and leg forward in a dress with head back.,12,1
pair01,13,2,matcher,G,sitting on ground?,3,1
pair01,13,2,matcher,G,or the one we did already,6,1
pair01,13,2,director,G,no she is definitely not sitting,6,1
pair01,14,2,director,E,bunny ears,2,1
pair01,15,2,director,C,ghost man,2,1
pair01,16,2,director,K,kneeling preacher,2,1
pair01,17,2,director,A,hazmat suit,2,1
pair01,18,2,director,F,laying on his back with a hump,7,1
pair01,18,2,director,F,he has a square head and his feet are on the left side,13,1
pair01,19,2,director,J,kid with pointy chest,4,1
pair01,20,2,director,L,bending preacher,2,1
pair01,21,2,director,I,"hmm i don't know what to call this guy, he is like a dancing man with arms out to the left",21,1
pair01,22,2,director,D,standing preacher,2,1
pair01,23,2,director,B,do not think we had this one,7,1
pair01,23,2,director,B,square head with diamond on right side,7,1
pair01,24,2,director,H,similar to kid,3,1
pair01,24,2,director,H,no pointy chest,3,1
pair01,25,3,director,J,kid,1,1
pair01,25,3,matcher,J,pointy,1,1
pair01,25,3,director,J,yes,1,1
pair01,26,3,director,C,ghost man,2,1
pair01,27,3,director,B,square triangle on side,4,1
pair01,27,3,director,B,like last time,3,1
pair01,28,3,director,D,standing preacher,2,1
pair01,29,3,director,E,bunny ears,2,1
pair01,30,3,director,G,err the woman with dress with her head back,9,1
pair01,31,3,matcher,H,call her dancing lady,4,1
pair01,31,3,director,H,kid with not pointy chest,5,1
pair01,32,3,director,I,dancing man,2,1
pair01,33,3,director,F,hump man,2,1
pair01,33,3,director,F,on ground,2,1
pair01,34,3,matcher,L,call him on ground,4,1
pair01,34,3,director,L,bending preacher,2,1
pair01,35,3,director,K,kneeling preacher,2,1
pair01,36,3,director,A,hazmat,1,1
pair01,37,4,director,I,dancing man,2,1
pair01,38,4,director,H,kid with not pointy chest,5,1
pair01,39,4,director,L,bending preacher,2,1
pair01,39,4,matcher,L,call him kid and other pointy kid,7,1
pair01,40,4,director,K,kneeling preacher,2,1
pair01,41,4,director,D,standing preacher,2,1
pair01,42,4,director,G,dancing lady,2,1
pair01,43,4,director,A,hazmat,1,1
pair01,44,4,director,C,ghost,1,1
pair01,45,4,director,B,square triangle on side forgot that one,7,1
pair01,46,4,matcher,J,call him triangle,3,1
pair01,46,4,director,J,kid pointy chest,3,1
pair01,47,4,director,E,bunny ears,2,1
pair01,48,4,director,F,hump man,2,1
pair01,49,5,director,K,kneeling preacher,2,1
pair01,50,5,director,C,ghost man,2,1
pair01,51,5,director,F,hump man,2,1
pair01,52,5,director,A,hazmat,1,1
pair01,53,5,director,I,dancing man,2,1
pair01,54,5,director,D,standing preacher,2,1
pair01,55,5,director,H,kid non pointy,3,1
pair01,56,5,director,L,bending preacher,2,1
pair01,57,5,director,J,kid pointy chest,3,1
pair01,58,5,director,E,bunny ears,2,1
pair01,59,5,director,B,square triangle head,3,1
pair01,60,5,director,G,dancing lady,2,1
pair01,61,6,director,G,dancing lady again,3,1
pair01,62,6,director,L,bending preacher,2,1
pair01,63,6,director,B,triangle square head,3,1
pair01,64,6,director,D,standing preacher,2,1
pair01,65,6,director,K,kneeling preacher,2,1
pair01,66,6,director,E,bunny ears,2,1
pair01,67,6,director,F,hump man,2,1
pair01,68,6,director,H,kid not pointy,3,1
pair01,69,6,director,J,kid pointy,2,1
pair01,70,6,director,I,dancing man,2,1
pair01,71,6,director,C,ghost man,2,1
pair01,72,6,director,A,hazmat,1,1
pair02,1,1,director,A,looks sad with his head down kicking rocks,8,1
pair02,2,1,director,J,standing straight and sideways facing east,6,1
pair02,3,1,director,K,woman kneeling and praying,4,1
pair02,4,1,director,G,dancing a high energy dance kneeling with her arms in the air,12,0
pair02,5,1,director,L,man who has an arrow like bottom facing east,9,0
pair02,6,1,director,I,the last one you just picked,6,1
pair02,7,1,director,H,a person standing straight is with a triangle facing east maybe kneeling,12,0
pair02,7,1,matcher,H,is the head shaped like a diamond in the middle of a horizontal line?,14,0
pair02,7,1,director,H,yes the head is a diamond sitting on a triangle look ghostly,12,0
pair02,8,1,director,B,woman praying in front of a mountain,7,0
pair02,9,1,director,C,looks like a man falling backwards diamond head arms sprawled out,11,1
pair02,10,1,director,E,a woman with big bow like thing on her head sitting,11,1
pair02,11,1,director,D,person standing straight facing west,5,1
pair02,11,1,director,D,with arms out,3,1
pair02,12,1,director,F,man sitting facing west,4,1
pair02,13,2,director,B,woman praying by the mountain,5,1
pair02,14,2,director,E,woman with the bow,4,1
pair02,15,2,director,G,lady with diamond head arms facing east kneeling sort of,10,1
pair02,15,2,director,G,one i said was dancing last time,7,1
pair02,16,2,director,C,falling guy again diamond head,5,1
pair02,17,2,director,L,the diamond head person who looks like they are squatting one i called arrow bottom,15,0
pair02,18,2,director,I,dude that looks like doing yoga with legs in an upside left position,13,1
pair02,18,2,director,I,diamond head arms facing west,5,1
pair02,19,2,director,A,sad guy,2,1
pair02,20,2,director,K,kneeling lady one you picked the last time as the squatting,11,1
pair02,20,2,director,K,arms facing east,3,1
pair02,21,2,director,F,guy that is sitting facing west,6,1
pair02,22,2,director,D,man whose standing straight arms facing west,7,1
pair02,23,2,director,H,"the diamond head blob one, the diamond is sitting on top of a triangle, which is on top of square, then a tail is shape",25,1
pair02,24,2,matcher,J,that looked like a crooked tie,6,1
pair02,24,2,director,J,man facing east standing straight,5,1
pair02,25,3,director,L,one i said was squatting diamond head arms facing east,10,1
pair02,26,3,director,A,sad guy,2,1
pair02,27,3,director,C,falling guy,2,1
pair02,28,3,director,E,woman with bow,3,1
pair02,29,3,director,D,man straight arms are west,5,1
pair02,30,3,director,G,"lady with diamond head, arms west, in a crouch like position called her dancing before",15,0
pair02,31,3,director,K,woman kneeling arms east,4,1
pair02,31,3,director,K,diamond head,2,1
pair02,32,3,director,H,crooked tie,2,1
pair02,33,3,director,J,straight man facing east,4,1
pair02,34,3,director,F,sitting guy,2,1
pair02,35,3,director,I,guy doing yoga,3,1
pair02,36,3,director,B,praying mountain,2,0
pair02,37,4,director,A,sad guy,2,1
pair02,38,4,director,L,man who is arms facing east diamond head kneeling/squatting straight back,11,0
pair02,39,4,director,E,bow lady,2,1
pair02,40,4,director,F,sitting guy,2,1
pair02,41,4,director,H,crooked tie,2,1
pair02,42,4,director,C,falling guy,2,1
pair02,43,4,director,D,straight arms west,3,1
pair02,44,4,director,B,woman praying at the mountain,5,1
pair02,45,4,director,I,yoga guy,2,1
pair02,46,4,director,G,last lady you picked as praying,6,0
pair02,46,4,director,G,i keep calling her the dancing one,7,0
pair02,46,4,director,G,diamond head,2,0
pair02,46,4,director,G,arms east,2,0
pair02,46,4,director,G,triangle between the legs,4,0
pair02,47,4,director,J,straight facing east,3,1
pair02,48,4,director,K,"diamond head arms east, praying or accepting gifts or something",10,1
pair02,49,5,director,C,falling guy,2,1
pair02,50,5,director,G,one we keep getting wrong dancing lady,7,1
pair02,50,5,director,G,triangle in the legs white one,6,1
pair02,51,5,director,F,sitting guy,2,1
pair02,51,5,matcher,F,triangle in the legs threw me,6,1
pair02,52,5,director,H,crooked tie,2,1
pair02,53,5,director,B,lady praying mountain,3,1
pair02,54,5,director,E,bow,1,1
pair02,54,5,matcher,E,just need to say triangle leg from now on,9,1
pair02,55,5,director,A,sad guy,2,1
pair02,56,5,director,J,straight facing east,3,1
pair02,57,5,director,I,yoga,1,1
pair02,57,5,director,I,yoga,1,1
pair02,58,5,director,L,"arms east triangle head, straight is back, look like a road arrow on his legs\",15,0
pair02,59,5,director,D,straight west,2,1
pair02,60,5,director,K,woman getting gifts,3,1
pair02,61,6,director,J,dude straight facing east,4,1
pair02,62,6,director,K,gift lady,2,1
pair02,63,6,director,I,yoga,1,1
pair02,64,6,director,A,sad,1,1
pair02,65,6,director,C,falling,1,1
pair02,66,6,director,B,mountain praying,2,1
pair02,67,6,director,F,sitting guy,2,1
pair02,68,6,director,G,triangle leg,2,1
pair02,69,6,director,E,bow,1,1
pair02,70,6,director,L,squatting,1,1
pair02,71,6,director,D,facing east,2,0
pair02,72,6,director,H,sorry crooked tie,3,1
pair03,1,1,director,D,a diamond is at the top,6,1
pair03,2,1,director,E,"3 shapes at the top, triangle 2 and one rectangle",10,1
pair03,3,1,director,F,sitting down almost like taking a nap,7,1
pair03,4,1,director,I,balancing on one feet,4,1
pair03,5,1,director,L,standing with bent knee,4,1
pair03,6,1,director,G,two hand like triangle in front,6,0
pair03,7,1,director,A,face looks like dinosaur,4,1
pair03,8,1,director,H,sitting down no legs can be seen,7,1
pair03,9,1,director,J,diamond at top but body shape is not like human,10,1
pair03,10,1,director,B,one rectangle and triangle at top,6,1
pair03,11,1,director,C,two hands in the air may be praying,8,1
pair03,12,1,director,K,bent on knee and pointed hand,6,0
pair03,12,1,director,K,in front,2,0
pair03,13,2,director,H,bent on knee but can't see legs,7,1
pair03,14,2,director,E,3 shapes a the top,5,1
pair03,15,2,director,B,one rectangle and one triangle at the top,8,1
pair03,16,2,director,L,bent knee with pointing hands,5,0
pair03,17,2,director,D,"bent knee, straight back and hands out , pointy",9,0
pair03,18,2,director,K,"two diamond, one head , one body , bent on knee and hand out",14,1
pair03,19,2,director,A,dinosaur face,2,1
pair03,20,2,director,C,hands in the air like praying,6,1
pair03,21,2,director,J,diamond head but does not look like human body,9,1
pair03,22,2,director,I,standing on one leg like flying,6,1
pair03,23,2,director,G,"sitting down on knee two hands out, hands are triangle and trapezoid",12,0
pair03,24,2,director,F,napping man,2,0
pair03,25,3,director,J,does not look like human body,6,0
pair03,26,3,director,D,"bent at the knee, legs not visible, hands out pointing",10,0
pair03,26,3,director,D,legs not visible,3,0
pair03,27,3,director,E,"three shapes on top, 2 triangle and one rectangle",9,1
pair03,28,3,director,F,"man sitting down , looks like napping",7,1
pair03,29,3,director,G,trapezoid hand,2,0
pair03,30,3,director,B,"bending down on knee , three shapes at the top, diamond right at the top",15,1
pair03,31,3,director,I,standing on one feet like flying,6,1
pair03,32,3,director,L,"making a v shape with legs , triangle hand",9,0
pair03,33,3,director,C,two hands in the air like praying,7,1
pair03,33,3,director,C,praying,1,1
pair03,34,3,director,K,"bend at the knee , two diamond, one head and one part of body",14,0
pair03,35,3,director,H,"sitting down , no hands, only diamond as head",9,1
pair03,36,3,director,A,"dinosaur face, diamond on the back",6,1
pair03,37,4,director,H,"sitting down, no hands and diamond head",7,1
pair03,38,4,director,B,"three shapes at the top, diamond in the middle",9,0
pair03,39,4,director,K,"two diamonds, one making head and one part of body, , can see feet",14,0
pair03,39,4,director,K,can see feet,3,0
pair03,40,4,director,A,dinosaur face,2,1
pair03,41,4,director,I,flying man,2,0
pair03,42,4,director,G,"trapezoid hand, other is triangle",5,1
pair03,42,4,director,G,not praying,2,1
pair03,42,4,director,G,sitting down,2,1
pair03,43,4,director,D,"sitting down, legs not visible",5,0
pair03,44,4,director,J,does not look like human body,6,1
pair03,44,4,director,J,not the dinosaur,3,1
pair03,45,4,director,F,"sitting down, like napping",4,1
pair03,46,4,director,C,praying man,2,0
pair03,47,4,director,E,"3 shapes at the top, 2 triangle, one rectangle",9,1
pair03,48,4,director,L,"bent knee , hands out, no feet seen , check feet please",12,0
pair03,49,5,director,L,"this one choose same again, no feet",7,1
pair03,49,5,director,L,bent knee,2,1
pair03,49,5,matcher,L,oh just type in the arrow pointing direction if that helps,11,1
pair03,49,5,director,L,"bent knee , hand out, no feet, hand towards right",10,1
pair03,50,5,director,A,dinosaur face,2,1
pair03,51,5,director,J,one side of body is big rectangle,7,1
pair03,52,5,director,G,"trapezoid hand, one is triangle, sitting down",7,0
pair03,53,5,director,H,no hands guy,3,1
pair03,54,5,director,I,flying man,2,0
pair03,55,5,director,B,"ok this one 3 shapes at the top, diamond in the middle",12,1
pair03,56,5,director,F,"napping man, sitting down",4,1
pair03,57,5,director,E,"3 shapes at the top, two triangles, one rectangle , no hands",12,1
pair03,58,5,director,C,"two hands in the air, praying man, with no legs",10,1
pair03,59,5,director,D,"no legs , hands pointing left",6,1
pair03,60,5,director,K,"two diamonds, one head, one part of body, feet can be seen , hands to right",16,1
pair03,61,6,director,D,"no legs, hands pointing left",5,1
pair03,62,6,director,C,"praying man, no legs",4,1
pair03,63,6,director,A,dinosaur face,2,1
pair03,64,6,director,G,"trapezoid hand , triangle hand, both to right , bending down",11,1
pair03,65,6,director,B,hand is only a triangle to the right side,9,0
pair03,66,6,director,E,"3 shapes at the top, triangle in the middle",9,0
pair03,66,6,director,E,no hands,2,0
pair03,67,6,director,F,napping man,2,1
pair03,68,6,director,H,bent at knee no hands,5,1
pair03,69,6,director,K,"bent at knee, feet can be seen, hand to the right",11,1
pair03,70,6,director,L,similar one with no feet this time,7,1
pair03,71,6,director,J,rectangle shape body,3,1
pair03,72,6,director,I,"standing on one leg, flying",5,1
pair04,1,1,director,I,looks like a cocktail with two large triangles on the top left side and small diamond above that.,18,1
