group,group_size,trial,repetition,tangram,message,n_words,n_correct,n_matchers
group001,4,0,1,G,ok so it's kind of like a dog lying down,10,0.0,3
group001,4,0,1,G,it's a long shape on the bottom of the square with a triangle just in front and 2 shapes on top,21,0.0,3
group001,4,1,1,L,ok so it's like a guy sort of crouching with his hands folded,13,3.0,3
group001,4,1,1,L,right,1,3.0,3
group001,4,1,1,L,like 2 rhombuses on the bottom with a square on that a triangle to the right and a diamond on top,21,3.0,3
group001,4,1,1,L,but the triangle isnt small,5,3.0,3
group001,4,2,1,C,it's like an angel flying,5,3.0,3
group001,4,2,1,C,it's like a rhombus with diamond in the top corners and a diamond for the head,16,3.0,3
group001,4,2,1,C,so it looks like a guy with wings,8,3.0,3
group001,4,2,1,C,no like it's leaning left,5,3.0,3
group001,4,2,1,C,above,1,3.0,3
group001,4,3,1,D,ok it's like a guy looking left carrying a box,10,3.0,3
group001,4,3,1,D,in his arms,3,3.0,3
group001,4,4,1,J,ok so it's like a guy with a thick back looking right with one arm out to the right,19,3.0,3
group001,4,4,1,J,like there is a box and a little triangle to the right underneath and a little triangle on the top right and a diamond on top of that,28,3.0,3
group001,4,4,1,J,his left side comes out a bit,7,3.0,3
group001,4,4,1,J,like past the diamond,4,3.0,3
group001,4,5,1,A,ok it's like a guy facing left with his head to the right over his back and a leg out to the left,23,3.0,3
group001,4,5,1,A,his arms are level with his head,7,3.0,3
group001,4,5,1,A,his head comes past the right side of his body by a bit,13,3.0,3
group001,4,5,1,A,it's the only one with a leg out to the left,11,3.0,3
group001,4,6,1,B,ok so its a guy sitting with his arms out,10,3.0,3
group001,4,6,1,B,the two triangles go out either side just below the head,11,3.0,3
group001,4,6,1,B,"the triangle on the right comes away from the ""body"" a bit",12,3.0,3
group001,4,6,1,B,he has one foot out to the left,8,3.0,3
group001,4,7,1,F,it's a guy sitting with his knees up facing left,10,3.0,3
group001,4,8,1,K,its a diamond on a diamond with a triangle out to the right,13,2.0,3
group001,4,8,1,K,there is a right angled triangle to the left,9,2.0,3
group001,4,8,1,K,like a duck looking right with a diamond on top,10,2.0,3
group001,4,9,1,E,on its like a rabbit looking right,7,3.0,3
group001,4,9,1,E,his head is kind of square,6,3.0,3
group001,4,9,1,E,and the body is two triangles,6,3.0,3
group001,4,9,1,E,its lying down,3,3.0,3
group001,4,9,1,E,2 triangles,2,3.0,3
group001,4,9,1,E,square on that looking right. 2 triangle ears on top,10,3.0,3
group001,4,10,1,H,it's like a guy sitting cross legged looking right,9,3.0,3
group001,4,10,1,H,there is a triangle to the right then a straight box with a diamond on top,16,3.0,3
group001,4,10,1,H,without arms,2,3.0,3
group001,4,10,1,H,with a triangle point off it to the right,9,3.0,3
group001,4,11,1,I,it's a guy looking left with his foot behind him,10,2.0,3
group001,4,11,1,I,like kicking up behind him,5,2.0,3
group001,4,12,2,E,bunny with two triangles for for ears facing the right,10,3.0,3
group001,4,13,2,K,person kneeling like she is praying facing to the right,10,1.0,3
group001,4,13,2,K,a small triangle,3,1.0,3
group001,4,14,2,L,Person is crouching with his arms out,7,3.0,3
group001,4,14,2,L,he is facing to the right,6,3.0,3
group001,4,14,2,L,Triangle head,2,3.0,3
group001,4,15,2,A,the persons legs are facing the left but his head which is shaped almost like the box is facing to the right,22,3.0,3
group001,4,15,2,A,it is like he is walking to the left,9,3.0,3
group001,4,16,2,D,The person is facing left and his holding like an open box,12,3.0,3
group001,4,16,2,D,looks like a priest,4,3.0,3
group001,4,17,2,C,The person looks like he is falling backwards,8,3.0,3
group001,4,17,2,C,he is tilted to the left,6,3.0,3
group001,4,17,2,C,his arms are above his head,6,3.0,3
group001,4,18,2,I,This person has one leg standing and the other lifted behind him,12,3.0,3
group001,4,18,2,I,he is facing left,4,3.0,3
group001,4,19,2,J,"This person has a diamond head , he has a long body going straight , there is a long triangle at the top which are arms and a short one at the bottom which are feet",36,3.0,3
group001,4,19,2,J,the person is standing complety straight,6,3.0,3
group001,4,19,2,J,his arms are facing right,5,3.0,3
group001,4,19,2,J,and his feet,3,3.0,3
group001,4,20,2,B,This looks like a lady facing left,7,3.0,3
